_id,highestPrice,lowestPrice,highest_in_12_30_to_12_55,lowest_in_12_30_to_12_55,成交日期,high_low_diff,high_low_diff1230-1255,highestPriceTime,lowestPriceTime,highest_in_12_30_to_12_55_time,lowest_in_12_30_to_12_55_time,20天平均,20天平均_1230-1255,年,月,日,種類,結算日,到期月份(週別),highestPriceTime_cal,lowestPriceTime_cal,時間差
2024-08-07,21335.0,21176.0,21335.0,21255.0,2024-08-07,159.0,80.0,2024-08-07 12:32:00,2024-08-07 13:03:00,2024-08-07 12:32:00,2024-08-07 12:49:00,160.0,92.4,2024,08,07,TX1,2024-08-07,202408W1,212,243,-31
2024-07-31,22314.0,22186.0,22271.0,22208.0,2024-07-31,128.0,63.0,2024-07-31 12:01:00,2024-07-31 12:27:00,2024-07-31 12:44:00,2024-07-31 12:31:00,108.0,58.7,2024,07,31,TX5,2024-07-31,202407W5,181,207,-26
2024-07-26,22131.0,22068.0,22116.0,22080.0,2024-07-26,63.0,36.0,2024-07-26 13:30:00,2024-07-26 12:05:00,2024-07-26 12:31:00,2024-07-26 12:48:00,99.25,55.7,2024,07,26,TX4,2024-07-26,202407W4,270,185,85
2024-07-17,23828.0,23647.0,23802.0,23649.0,2024-07-17,181.0,153.0,2024-07-17 12:02:00,2024-07-17 12:56:00,2024-07-17 12:30:00,2024-07-17 12:53:00,96.85,47.8,2024,07,17,TXO,2024-07-17,202407,182,236,-54
2024-07-10,24003.0,23888.0,23963.0,23936.0,2024-07-10,115.0,27.0,2024-07-10 13:05:00,2024-07-10 12:12:00,2024-07-10 12:39:00,2024-07-10 12:52:00,90.65,47.3,2024,07,10,TX2,2024-07-10,202407W2,245,192,53
2024-07-03,23155.0,23115.0,23155.0,23140.0,2024-07-03,40.0,15.0,2024-07-03 12:38:00,2024-07-03 13:26:00,2024-07-03 12:38:00,2024-07-03 12:33:00,87.6,44.5,2024,07,03,TX1,2024-07-03,202407W1,218,266,-48
2024-06-26,22888.0,22804.0,22860.0,22830.0,2024-06-26,84.0,30.0,2024-06-26 13:26:00,2024-06-26 12:03:00,2024-06-26 12:32:00,2024-06-26 12:48:00,91.35,47.7,2024,06,26,TX4,2024-06-26,202406W4,266,183,83
2024-06-19,23278.0,23121.0,23214.0,23121.0,2024-06-19,157.0,93.0,2024-06-19 13:05:00,2024-06-19 12:41:00,2024-06-19 12:51:00,2024-06-19 12:41:00,80.85,45.5,2024,06,19,TXO,2024-06-19,202406,245,221,24
2024-06-12,22063.0,21980.0,22026.0,21989.0,2024-06-12,83.0,37.0,2024-06-12 13:29:00,2024-06-12 12:14:00,2024-06-12 12:37:00,2024-06-12 12:34:00,81.7,42.5,2024,06,12,TX2,2024-06-12,202406W2,269,194,75
2024-06-05,21479.0,21410.0,21458.0,21422.0,2024-06-05,69.0,36.0,2024-06-05 13:01:00,2024-06-05 12:19:00,2024-06-05 12:35:00,2024-06-05 12:51:00,83.55,44.5,2024,06,05,TX1,2024-06-05,202406W1,241,199,42
2024-05-29,21795.0,21731.0,21777.0,21749.0,2024-05-29,64.0,28.0,2024-05-29 13:09:00,2024-05-29 13:30:00,2024-05-29 12:54:00,2024-05-29 12:36:00,71.85,39.75,2024,05,29,TX5,2024-05-29,202405W5,249,270,-21
2024-05-22,21613.0,21563.0,21613.0,21580.0,2024-05-22,50.0,33.0,2024-05-22 12:41:00,2024-05-22 12:01:00,2024-05-22 12:41:00,2024-05-22 12:32:00,74.7,39.85,2024,05,22,TX4,2024-05-22,202405W4,221,181,40
2024-05-15,21262.0,21132.0,21216.0,21161.0,2024-05-15,130.0,55.0,2024-05-15 12:17:00,2024-05-15 13:03:00,2024-05-15 12:33:00,2024-05-15 12:55:00,85.65,40.8,2024,05,15,TXO,2024-05-15,202405,197,243,-46
2024-05-08,20736.0,20697.0,20731.0,20697.0,2024-05-08,39.0,34.0,2024-05-08 12:14:00,2024-05-08 12:43:00,2024-05-08 12:31:00,2024-05-08 12:43:00,83.7,41.25,2024,05,08,TX2,2024-05-08,202405W2,194,223,-29
