_id,highestPrice,lowestPrice,highest_in_12_30_to_12_55,lowest_in_12_30_to_12_55,成交日期,high_low_diff,high_low_diff1230-1255,highestPriceTime,lowestPriceTime,highest_in_12_30_to_12_55_time,lowest_in_12_30_to_12_55_time,20天平均,20天平均_1230-1255,年,月,日,種類,結算日,到期月份(週別),highestPriceTime_cal,lowestPriceTime_cal,時間差
2024-08-07,21306.23,21212.165,21306.23,21256.69,2024-08-07,94.06499999999869,49.54000000000087,2024-08-07 12:33:00,2024-08-07 13:01:00,2024-08-07 12:33:00,2024-08-07 12:49:00,105.13822943568884,87.8625,2024,08,07,TX1,2024-08-07,202408W1,213,241,-28
2024-07-31,22244.34,22188.37,22244.34,22188.37,2024-07-31,55.970000000001164,55.970000000001164,2024-07-31 12:47:00,2024-07-31 12:33:00,2024-07-31 12:47:00,2024-07-31 12:33:00,83.73577943568871,72.55299999999988,2024,07,31,TX5,2024-07-31,202407W5,227,213,14
2024-07-26,22123.01,22068.051167315178,22117.36,22088.62,2024-07-26,54.95883268482066,28.7400000000016,2024-07-26 12:59:00,2024-07-26 13:22:00,2024-07-26 12:55:00,2024-07-26 12:30:00,77.95738252634673,70.04699999999976,2024,07,26,TX4,2024-07-26,202407W4,239,262,-23
2024-07-17,23809.72,23669.170439024394,23809.72,23675.66,2024-07-17,140.54956097560716,134.0600000000013,2024-07-17 12:30:00,2024-07-17 13:18:00,2024-07-17 12:30:00,2024-07-17 12:48:00,70.37132212134165,60.60450000000001,2024,07,17,TXO,2024-07-17,202407,210,258,-48
2024-07-10,24010.27,23913.9,23971.19,23913.9,2024-07-10,96.36999999999898,57.289999999997235,2024-07-10 13:00:00,2024-07-10 12:54:00,2024-07-10 12:45:00,2024-07-10 12:54:00,65.20888007427784,51.27399999999962,2024,07,10,TX2,2024-07-10,202407W2,240,234,6
2024-07-03,23138.44,23116.77,23138.44,23116.77,2024-07-03,21.669999999998254,21.669999999998254,2024-07-03 12:45:00,2024-07-03 12:54:00,2024-07-03 12:45:00,2024-07-03 12:54:00,53.285191604332795,39.68950000000022,2024,07,03,TX1,2024-07-03,202407W1,225,234,-9
2024-06-26,22964.876644518274,22928.2,22953.06,22930.03,2024-06-26,36.67664451827295,23.030000000002474,2024-06-26 13:30:00,2024-06-26 12:59:00,2024-06-26 12:35:00,2024-06-26 12:49:00,57.98165833328403,41.31800000000057,2024,06,26,TX4,2024-06-26,202406W4,270,239,31
2024-06-19,23251.97106060606,23092.86,23171.02,23092.86,2024-06-19,159.11106060606107,78.15999999999985,2024-06-19 13:06:00,2024-06-19 12:44:00,2024-06-19 12:51:00,2024-06-19 12:44:00,54.98211071977348,41.1345000000003,2024,06,19,TXO,2024-06-19,202406,246,224,22
2024-06-12,22067.441066666666,22018.01,22061.52,22018.01,2024-06-12,49.4310666666679,43.51000000000204,2024-06-12 13:30:00,2024-06-12 12:34:00,2024-06-12 12:40:00,2024-06-12 12:34:00,51.88564639084361,39.57700000000077,2024,06,12,TX2,2024-06-12,202406W2,270,214,56
2024-06-05,21509.16,21452.51,21486.07,21452.51,2024-06-05,56.650000000001455,33.56000000000131,2024-06-05 13:00:00,2024-06-05 12:40:00,2024-06-05 12:55:00,2024-06-05 12:40:00,54.3026370292695,40.166500000000816,2024,06,05,TX1,2024-06-05,202406W1,240,220,20
