_id,highestPrice,lowestPrice,highest_in_9_to_10,lowest_in_9_to_10,成交日期,high_low_diff,highestPriceTime,lowestPriceTime,highest_in_9_to_10_time,lowest_in_9_to_10_time,20天平均,年,月,日,種類,結算日,到期月份(週別),highestPriceTime_cal,lowestPriceTime_cal,時間差
2024-08-07,21335.0,20580.0,21182.0,20580.0,2024-08-07,755.0,2024-08-07 12:32:00,2024-08-07 09:08:00,2024-08-07 09:58:00,2024-08-07 09:08:00,441.0,2024,08,07,TX1,2024-08-07,202408W1,212,8,204
2024-07-31,22348.0,22013.0,22199.0,22013.0,2024-07-31,335.0,2024-07-31 10:41:00,2024-07-31 09:41:00,2024-07-31 09:16:00,2024-07-31 09:41:00,316.85,2024,07,31,TX5,2024-07-31,202407W5,101,41,60
2024-07-26,22156.0,21918.0,22148.0,21918.0,2024-07-26,238.0,2024-07-26 10:20:00,2024-07-26 09:01:00,2024-07-26 09:15:00,2024-07-26 09:01:00,294.7,2024,07,26,TX4,2024-07-26,202407W4,80,1,79
2024-07-17,23990.0,23647.0,23979.0,23750.0,2024-07-17,343.0,2024-07-17 10:55:00,2024-07-17 12:56:00,2024-07-17 09:41:00,2024-07-17 09:13:00,275.5,2024,07,17,TXO,2024-07-17,202407,115,236,-121
2024-07-10,24003.0,23702.0,23855.0,23714.0,2024-07-10,301.0,2024-07-10 13:05:00,2024-07-10 10:00:00,2024-07-10 09:40:00,2024-07-10 09:59:00,260.05,2024,07,10,TX2,2024-07-10,202407W2,245,60,185
2024-07-03,23155.0,22981.0,23093.0,22981.0,2024-07-03,174.0,2024-07-03 12:38:00,2024-07-03 09:27:00,2024-07-03 09:03:00,2024-07-03 09:27:00,232.3,2024,07,03,TX1,2024-07-03,202407W1,218,27,191
2024-06-26,23005.0,22744.0,22983.0,22810.0,2024-06-26,261.0,2024-06-26 10:53:00,2024-06-26 11:36:00,2024-06-26 09:58:00,2024-06-26 09:00:00,232.5,2024,06,26,TX4,2024-06-26,202406W4,113,156,-43
2024-06-19,23291.0,22955.0,23090.0,22955.0,2024-06-19,336.0,2024-06-19 11:13:00,2024-06-19 09:01:00,2024-06-19 09:46:00,2024-06-19 09:01:00,215.65,2024,06,19,TXO,2024-06-19,202406,133,1,132
2024-06-12,22063.0,21810.0,21953.0,21810.0,2024-06-12,253.0,2024-06-12 13:29:00,2024-06-12 09:00:00,2024-06-12 09:52:00,2024-06-12 09:00:00,211.3,2024,06,12,TX2,2024-06-12,202406W2,269,0,269
2024-06-05,21493.0,21226.0,21414.0,21226.0,2024-06-05,267.0,2024-06-05 10:21:00,2024-06-05 09:21:00,2024-06-05 09:01:00,2024-06-05 09:21:00,206.85,2024,06,05,TX1,2024-06-05,202406W1,81,21,60
2024-05-29,21907.0,21731.0,21907.0,21777.0,2024-05-29,176.0,2024-05-29 09:03:00,2024-05-29 13:30:00,2024-05-29 09:03:00,2024-05-29 09:44:00,188.35,2024,05,29,TX5,2024-05-29,202405W5,3,270,-267
2024-05-22,21613.0,21341.0,21456.0,21341.0,2024-05-22,272.0,2024-05-22 12:41:00,2024-05-22 09:00:00,2024-05-22 09:52:00,2024-05-22 09:00:00,187.9,2024,05,22,TX4,2024-05-22,202405W4,221,0,221
2024-05-15,21361.0,21132.0,21282.0,21136.0,2024-05-15,229.0,2024-05-15 10:26:00,2024-05-15 13:03:00,2024-05-15 09:57:00,2024-05-15 09:01:00,221.35,2024,05,15,TXO,2024-05-15,202405,86,243,-157
2024-05-08,20736.0,20574.0,20666.0,20574.0,2024-05-08,162.0,2024-05-08 12:14:00,2024-05-08 09:26:00,2024-05-08 09:44:00,2024-05-08 09:26:00,226.8,2024,05,08,TX2,2024-05-08,202405W2,194,26,168
2024-05-02,20380.0,20255.0,20380.0,20285.0,2024-05-02,125.0,2024-05-02 09:25:00,2024-05-02 10:21:00,2024-05-02 09:25:00,2024-05-02 09:33:00,225.2,2024,05,02,TX1,2024-05-02,202405W1,25,81,-56
2024-04-24,20202.0,19933.0,20149.0,19933.0,2024-04-24,269.0,2024-04-24 13:04:00,2024-04-24 09:00:00,2024-04-24 09:58:00,2024-04-24 09:00:00,234.8,2024,04,24,TX4,2024-04-24,202404W4,244,0,244
2024-04-17,20289.0,19988.0,20070.0,19988.0,2024-04-17,301.0,2024-04-17 13:03:00,2024-04-17 09:01:00,2024-04-17 09:06:00,2024-04-17 09:01:00,195.55,2024,04,17,TXO,2024-04-17,202404,243,1,242
2024-04-10,20892.0,20804.0,20863.0,20804.0,2024-04-10,88.0,2024-04-10 10:55:00,2024-04-10 09:16:00,2024-04-10 09:09:00,2024-04-10 09:16:00,181.45,2024,04,10,TX2,2024-04-10,202404W2,115,16,99
2024-04-03,20419.0,20275.0,20415.0,20289.0,2024-04-03,144.0,2024-04-03 12:02:00,2024-04-03 10:02:00,2024-04-03 09:10:00,2024-04-03 09:58:00,187.45,2024,04,03,TX1,2024-04-03,202404W1,182,62,120
2024-03-27,20288.0,20148.0,20226.0,20148.0,2024-03-27,140.0,2024-03-27 12:53:00,2024-03-27 09:06:00,2024-03-27 09:27:00,2024-03-27 09:06:00,195.5,2024,03,27,TX4,2024-03-27,202403W4,233,6,227
2024-03-20,19956.0,19731.0,19956.0,19826.0,2024-03-20,225.0,2024-03-20 09:23:00,2024-03-20 13:16:00,2024-03-20 09:23:00,2024-03-20 09:58:00,177.85,2024,03,20,TXO,2024-03-20,202403,23,256,-233
2024-03-13,20064.0,19886.0,20064.0,19935.0,2024-03-13,178.0,2024-03-13 09:06:00,2024-03-13 12:33:00,2024-03-13 09:06:00,2024-03-13 09:35:00,162.7,2024,03,13,TX2,2024-03-13,202403W2,6,213,-207
2024-03-06,19523.0,19271.0,19413.0,19271.0,2024-03-06,252.0,2024-03-06 12:24:00,2024-03-06 09:01:00,2024-03-06 09:59:00,2024-03-06 09:01:00,130.4,2024,03,06,TX1,2024-03-06,202403W1,204,1,203
2024-02-29,18997.0,18815.0,18885.0,18815.0,2024-02-29,182.0,2024-02-29 13:11:00,2024-02-29 09:01:00,2024-02-29 09:34:00,2024-02-29 09:01:00,110.3,2024,02,29,TX4,2024-02-29,202402W4,251,1,250
2024-02-21,18728.0,18659.0,18720.0,18662.0,2024-02-21,69.0,2024-02-21 11:14:00,2024-02-21 12:59:00,2024-02-21 09:02:00,2024-02-21 09:37:00,103.2,2024,02,21,TXO,2024-02-21,202402,134,239,-105
2024-02-15,18696.0,18556.0,18652.0,18556.0,2024-02-15,140.0,2024-02-15 11:30:00,2024-02-15 09:10:00,2024-02-15 09:03:00,2024-02-15 09:10:00,106.9,2024,02,15,TX1,2024-02-15,202402W1,150,10,140
2024-01-31,18003.0,17904.0,18003.0,17925.0,2024-01-31,99.0,2024-01-31 09:09:00,2024-01-31 12:39:00,2024-01-31 09:09:00,2024-01-31 09:56:00,111.95,2024,01,31,TX5,2024-01-31,202401W5,9,219,-210
2024-01-24,17941.0,17876.0,17936.0,17876.0,2024-01-24,65.0,2024-01-24 11:20:00,2024-01-24 09:06:00,2024-01-24 09:55:00,2024-01-24 09:06:00,116.95,2024,01,24,TX4,2024-01-24,202401W4,140,6,134
2024-01-17,17344.0,17159.0,17344.0,17267.0,2024-01-17,185.0,2024-01-17 09:36:00,2024-01-17 13:02:00,2024-01-17 09:36:00,2024-01-17 09:14:00,109.6,2024,01,17,TXO,2024-01-17,202401,36,242,-206
2024-01-10,17513.0,17439.0,17505.0,17439.0,2024-01-10,74.0,2024-01-10 10:25:00,2024-01-10 09:06:00,2024-01-10 09:22:00,2024-01-10 09:06:00,99.75,2024,01,10,TX2,2024-01-10,202401W2,85,6,79
2024-01-03,17642.0,17507.0,17642.0,17575.0,2024-01-03,135.0,2024-01-03 09:02:00,2024-01-03 11:28:00,2024-01-03 09:02:00,2024-01-03 09:42:00,95.7,2024,01,03,TX1,2024-01-03,202401W1,2,148,-146
2023-12-27,17869.0,17745.0,17821.0,17745.0,2023-12-27,124.0,2023-12-27 13:19:00,2023-12-27 09:01:00,2023-12-27 09:31:00,2023-12-27 09:01:00,94.85,2023,12,27,TX4,2023-12-27,202312W4,259,1,258
2023-12-20,17655.0,17596.0,17655.0,17596.0,2023-12-20,59.0,2023-12-20 09:58:00,2023-12-20 09:36:00,2023-12-20 09:58:00,2023-12-20 09:36:00,110.45,2023,12,20,TXO,2023-12-20,202312,58,36,22
2023-12-13,17519.0,17426.0,17519.0,17463.0,2023-12-13,93.0,2023-12-13 09:30:00,2023-12-13 12:30:00,2023-12-13 09:30:00,2023-12-13 09:00:00,112.25,2023,12,13,TX2,2023-12-13,202312W2,30,210,-180
2023-12-06,17453.0,17346.0,17435.0,17346.0,2023-12-06,107.0,2023-12-06 10:10:00,2023-12-06 09:02:00,2023-12-06 09:52:00,2023-12-06 09:02:00,111.45,2023,12,06,TX1,2023-12-06,202312W1,70,2,68
2023-11-29,17450.0,17314.0,17450.0,17372.0,2023-11-29,136.0,2023-11-29 09:28:00,2023-11-29 13:28:00,2023-11-29 09:28:00,2023-11-29 09:00:00,111.55,2023,11,29,TX5,2023-11-29,202311W5,28,268,-240
2023-11-22,17334.0,17256.0,17334.0,17285.0,2023-11-22,78.0,2023-11-22 09:47:00,2023-11-22 12:05:00,2023-11-22 09:47:00,2023-11-22 09:01:00,109.3,2023,11,22,TX4,2023-11-22,202311W4,47,185,-138
2023-11-15,17175.0,17055.0,17175.0,17117.0,2023-11-15,120.0,2023-11-15 09:00:00,2023-11-15 12:53:00,2023-11-15 09:00:00,2023-11-15 09:45:00,122.1,2023,11,15,TXO,2023-11-15,202311,0,233,-233
2023-11-08,16797.0,16687.0,16777.0,16687.0,2023-11-08,110.0,2023-11-08 10:19:00,2023-11-08 09:02:00,2023-11-08 09:58:00,2023-11-08 09:02:00,128.75,2023,11,08,TX2,2023-11-08,202311W2,79,2,77
2023-11-01,16117.0,15978.0,16117.0,16026.0,2023-11-01,139.0,2023-11-01 09:00:00,2023-11-01 10:23:00,2023-11-01 09:00:00,2023-11-01 09:57:00,132.15,2023,11,01,TX1,2023-11-01,202311W1,0,83,-83
2023-10-25,16480.0,16373.0,16463.0,16373.0,2023-10-25,107.0,2023-10-25 10:08:00,2023-10-25 09:01:00,2023-10-25 09:57:00,2023-10-25 09:01:00,127.55,2023,10,25,TX4,2023-10-25,202310W4,68,1,67
2023-10-18,16610.0,16411.0,16610.0,16502.0,2023-10-18,199.0,2023-10-18 09:00:00,2023-10-18 13:02:00,2023-10-18 09:00:00,2023-10-18 09:55:00,121.4,2023,10,18,TXO,2023-10-18,202310,0,242,-242
2023-10-11,16780.0,16662.0,16780.0,16700.0,2023-10-11,118.0,2023-10-11 09:00:00,2023-10-11 10:22:00,2023-10-11 09:00:00,2023-10-11 09:52:00,128.75,2023,10,11,TX2,2023-10-11,202310W2,0,82,-82
