,價平檔位,時間分組,買賣權別,average_iv,std_iv
0,-1000.0,0 days 00:45:00,C,1.999,
1,-1000.0,0 days 01:00:00,C,1.8773,
2,-1000.0,0 days 01:30:00,C,0.98095,0.06484169183480633
3,-1000.0,0 days 04:30:00,C,0.6151,0.043557777721091276
4,-1000.0,0 days 04:30:00,P,0.0,
5,-1000.0,1 days 00:30:00,C,0.3902,
6,-1000.0,1 days 00:30:00,P,0.3998,0.0875398195108946
7,-1000.0,1 days 04:30:00,C,0.294975,0.06628943480424819
8,-1000.0,1 days 04:30:00,P,0.5532,
9,-1000.0,2 days 00:30:00,C,0.24296666666666666,0.05320736164604794
10,-1000.0,2 days 04:30:00,C,0.25808333333333333,0.10176383280255648
11,-1000.0,5 days 00:30:00,C,0.17425,0.02366579810612776
12,-1000.0,5 days 00:30:00,P,0.1952,
13,-1000.0,5 days 04:30:00,C,0.18615714285714285,0.03014945312620983
14,-1000.0,6 days 00:00:00,C,0.15139,0.03149498901941916
15,-1000.0,6 days 00:00:00,P,0.3052,
16,-1000.0,6 days 04:30:00,C,0.16224444444444444,0.026425797580731183
17,-950.0,0 days 00:45:00,C,1.67875,0.4015659410358402
18,-950.0,0 days 01:00:00,C,1.0187,
19,-950.0,0 days 01:30:00,C,1.011,
20,-950.0,0 days 04:30:00,C,0.6687799999999999,0.09542416884626242
21,-950.0,0 days 04:30:00,P,0.0,0.0
22,-950.0,1 days 00:30:00,C,0.32936,0.07821290174900813
23,-950.0,1 days 00:30:00,P,0.0,
24,-950.0,1 days 04:30:00,C,0.2995833333333333,0.08193217723621574
25,-950.0,1 days 04:30:00,P,0.0,
26,-950.0,2 days 00:30:00,C,0.43865,0.33764348801657645
27,-950.0,2 days 00:30:00,P,0.5893,
28,-950.0,2 days 04:30:00,C,0.27495555555555556,0.08517750746398825
29,-950.0,2 days 04:30:00,P,0.0,
30,-950.0,5 days 00:30:00,C,0.17738333333333334,0.02443599121514547
31,-950.0,5 days 04:30:00,C,0.1707,0.023943767456271383
32,-950.0,6 days 00:00:00,C,0.14726,0.014804154822211231
33,-950.0,6 days 00:00:00,P,0.1306,
34,-950.0,6 days 04:30:00,C,0.15841176470588236,0.026262018257193733
35,-900.0,0 days 00:45:00,C,1.38,0.325693383414524
36,-900.0,0 days 00:45:00,P,2.7895,
37,-900.0,0 days 01:00:00,C,1.1213,0.061801132675704355
38,-900.0,0 days 01:00:00,P,0.0,
39,-900.0,0 days 01:30:00,C,0.8446,
40,-900.0,0 days 04:30:00,C,0.6764749999999999,0.06420599011514944
41,-900.0,0 days 04:30:00,P,0.0,
42,-900.0,1 days 00:30:00,C,0.3751,0.046669047558312124
43,-900.0,1 days 04:30:00,C,0.2699142857142857,0.043764080727290065
44,-900.0,2 days 00:30:00,C,0.23973333333333335,0.04353347371085075
45,-900.0,2 days 04:30:00,C,0.2623166666666667,0.10364824005580926
46,-900.0,2 days 04:30:00,P,0.2542,
47,-900.0,5 days 00:30:00,C,0.16792,0.027247513648037684
48,-900.0,5 days 00:30:00,P,0.2119,
49,-900.0,5 days 04:30:00,C,0.17562142857142857,0.03051207021117099
50,-900.0,5 days 04:30:00,P,0.2228,0.05435034498510566
51,-900.0,6 days 00:00:00,C,0.15854545454545454,0.029903590541483945
52,-900.0,6 days 04:30:00,C,0.15115294117647057,0.021492705670967147
53,-850.0,0 days 00:45:00,C,1.25105,0.16355379848844848
54,-850.0,0 days 01:00:00,C,1.3184,
55,-850.0,0 days 01:30:00,C,0.7867999999999999,0.05586143571373734
56,-850.0,0 days 01:30:00,P,0.0,
57,-850.0,0 days 04:30:00,C,0.6816249999999999,0.0321073589695571
58,-850.0,0 days 04:30:00,P,0.0,0.0
59,-850.0,1 days 00:30:00,C,0.29916666666666664,0.0984032689158919
60,-850.0,1 days 00:30:00,P,0.4065,
61,-850.0,1 days 04:30:00,C,0.27715,0.06549441452012023
62,-850.0,1 days 04:30:00,P,0.0,
63,-850.0,2 days 00:30:00,C,0.2665142857142857,0.1923139137674948
64,-850.0,2 days 00:30:00,P,0.48285,0.20343462094736972
65,-850.0,2 days 04:30:00,C,0.2363588235294118,0.06668335679560089
66,-850.0,2 days 04:30:00,P,0.14055,0.19876771619153852
67,-850.0,5 days 00:30:00,C,0.16165384615384618,0.026967592136507575
68,-850.0,5 days 00:30:00,P,0.1816,
69,-850.0,5 days 04:30:00,C,0.16490714285714286,0.023824017108976213
70,-850.0,6 days 00:00:00,C,0.15152222222222222,0.021292591304123712
71,-850.0,6 days 00:00:00,P,0.1178,
