證券代碼	年月日	開盤價(元)	最高價(元)	最低價(元)	收盤價(元)	成交量(千股)	成交值(千元)	報酬率％	週轉率％	流通在外股數(千股)	市值(百萬元)	最後揭示買價	最後揭示賣價	報酬率-Ln	市值比重％	成交值比重％	成交筆數(筆)	本益比-TSE	本益比-TEJ	股價淨值比-TSE	股價淨值比-TEJ	漲跌停	股價營收比-TEJ	股利殖利率-TSE	現金股利率	股價漲跌(元)	高低價差%	次日開盤參考價	次日漲停價	次日跌停價	注意股票(A)	處置股票(D)	全額交割(Y)	市場別
Y9999 加權指數	20200102	12026.5	12110.7	12026.2	12100.5	4335855	142714556	0.8614	0.2878	711169499	36506950	 	 	0.8577	100	100	1060157	 	20.3903	 	1.8247	 	1.1507	 	3.5576	103.34	0.7044	 	 	 	 	 	 	TSE
Y9999 加權指數	20200103	12167.4	12197.6	12023.6	12110.4	5527302	193759680	0.0822	0.3644	711168401	36538102	 	 	0.0822	100	100	1346033	 	20.4115	 	1.8266	 	1.1519	 	3.5546	9.95	1.4383	 	 	 	 	 	 	TSE
Y9999 加權指數	20200106	12035.7	12040.1	11953.4	11953.4	4679171	144304046	-1.297	0.3323	711167736	36062494	 	 	-1.3055	100	100	1093048	 	20.1491	 	1.8031	 	1.1371	 	3.6015	-157.07	0.7161	 	 	 	 	 	 	TSE
Y9999 加權指數	20200107	11962	11986	11822.4	11880.3	4659753	166420714	-0.611	0.3321	711167753	35842158	 	 	-0.6129	100	100	1140038	 	20.025	 	1.792	 	1.1301	 	3.6236	-73.04	1.3689	 	 	 	 	 	 	TSE
Y9999 加權指數	20200108	11818.8	11899.7	11777.5	11817.1	5076957	150679445	-0.5321	0.345	711169580	35650867	 	 	-0.5336	100	100	1102233	 	19.9203	 	1.7827	 	1.1242	 	3.6431	-63.22	1.0288	 	 	 	 	 	 	TSE
Y9999 加權指數	20200109	11889.5	11992.5	11889.5	11970.6	4490694	134259818	1.2992	0.2917	705422518	36071226	 	 	1.2909	100	100	963538	 	20.0844	 	1.8056	 	1.1376	 	3.6006	153.53	0.8724	 	 	 	 	 	 	TSE
Y9999 加權指數	20200110	12009.3	12038.2	11959.1	12024.7	4171337	128936009	0.4513	0.2681	705872518	36238065	 	 	0.4503	100	100	931433	 	20.1779	 	1.814	 	1.1429	 	3.584	54.02	0.6612	 	 	 	 	 	 	TSE
Y9999 加權指數	20200113	12069.6	12113.4	12037.2	12113.4	4685839	143488572	0.7382	0.3327	705872518	36505251	 	 	0.7355	100	100	1061144	 	20.327	 	1.8274	 	1.1513	 	3.5578	88.77	0.6335	 	 	 	 	 	 	TSE
Y9999 加權指數	20200114	12161.7	12186.6	12140.3	12179.8	4865029	154164387	0.5481	0.3225	705872518	36704297	 	 	0.5466	100	100	1116320	 	20.4367	 	1.8373	 	1.1575	 	3.5385	66.39	0.3826	 	 	 	 	 	 	TSE
Y9999 加權指數	20200115	12169.9	12169.9	12048	12091.9	4161534	152559255	-0.7219	0.2791	705872853	36439385	 	 	-0.7246	100	100	1003233	 	20.2872	 	1.8238	 	1.1491	 	3.5642	-87.93	1.0009	 	 	 	 	 	 	TSE
